,bjd,rv,rv_err,ha,ha_err,hb,hb_err,hg,hg_err,na,na_err,s,s_err,fwhm,inst
97,58539.716565,-5676.7,2.8,7.01,0.03,5.4,0.07,11.48,0.26,0.71,0.03,0.7,0.18,,
98,58539.728093,-5675.6,2.5,7.05,0.03,5.44,0.06,11.92,0.24,0.7,0.02,0.7,0.17,3.0507,23.2682
99,58540.716941,-5677.3,2.1,7.0,0.02,5.49,0.05,11.7,0.22,0.69,0.02,0.73,0.16,3.0576,23.2203
100,58540.728353,-5680.1,2.4,7.03,0.02,5.43,0.06,12.53,0.26,0.76,0.02,0.61,0.19,3.0568,23.1332
101,58541.714284,-5683.3,1.8,7.06,0.02,5.54,0.04,12.46,0.18,0.72,0.01,0.87,0.14,3.0604,23.2699
102,58541.725708,-5681.4,1.8,7.05,0.02,5.46,0.04,12.56,0.18,0.68,0.01,0.76,0.13,3.0587,23.2697
103,58542.68702,-5681.0,1.8,7.02,0.02,5.38,0.04,11.64,0.18,0.66,0.01,0.75,0.13,3.0571,23.2658
104,58542.698328,-5681.8,1.9,7.02,0.02,5.35,0.05,11.69,0.19,0.68,0.02,0.59,0.14,3.0617,23.263
105,58543.694628,-5680.0,1.8,7.15,0.02,5.71,0.04,12.15,0.16,0.69,0.01,0.69,0.11,3.0598,23.4357
106,58543.706052,-5680.0,1.7,7.18,0.02,5.8,0.04,12.44,0.16,0.69,0.01,0.75,0.11,3.0682,23.3582
107,58545.692066999996,-5682.0,2.1,7.04,0.02,5.47,0.05,12.4,0.21,0.71,0.02,0.7,0.15,3.0633,23.2762
